id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
84980,2743234,Mansikkaniemen Lomamokit,23 B Polkkyinniementie,Tiemassaari,Finland,58900,Holiday parks,4,62.16077648,28.15716723,2,http://www.booking.com/hotel/fi/mansikkaniemen-lomamokit.en-gb.html,EUR
84981,274343,Hotel Marcel,Niklaas Desparsstraat 9,Bruges,Belgium,8000,Hotels,3,51.2098765,3.2237185,2,http://www.booking.com/hotel/be/nicolas.en-gb.html,EUR
84982,274362,Abamar,Via Giambattista Marino 10,Rimini,Italy,47900,Hotels,3,44.05940533,12.58753985,2,https://www.booking.com/hotel/it/abamar.en-gb.html,EUR
84983,274367,l'Hotellerie Kouros,"ZAC les defens, Impasse des Roitelets",Cuers,France,83390,Hotels,3,43.25036444,6.09260961,2,http://www.booking.com/hotel/fr/hotellerie-kouros.en-gb.html,EUR
84984,274370,Novum Hotel Aldea Berlin Centrum,Bulowstr. 20-22,Berlin,Germany,10783,Hotels,3,52.49791494,13.36041033,2,http://www.booking.com/hotel/de/aldea-novum.en-gb.html,EUR
84985,274373,Hotel Tulikettu,Tervatie 3,Sotkamo,Finland,88600,Hotels,4,64.12866013,28.38307142,2,http://www.booking.com/hotel/fi/tulikettu.en-gb.html,EUR
84986,274380,Hotel & Gasthof Hubertushohe,Latrop Nr. 11 -13,Schmallenberg,Germany,57392,Hotels,3,51.11361593,8.33384067,2,http://www.booking.com/hotel/de/hubertushohe.en-gb.html,EUR
84987,274387,Residence Odalys Chanteneige Croisette,Immeuble Chanteneige La Croisette,Les Menuires,France,73440,Resorts,2,45.32263486,6.53784692,2,http://www.booking.com/hotel/fr/chanteneige.en-gb.html,EUR
84988,274397,Hotel Gasthof Bruggler,Hoheneggstrasse 10,Radstadt,Austria,5550,Hotels,3,47.38469427,13.46152693,2,http://www.booking.com/hotel/at/gasthof-bruggler.en-gb.html,EUR
84989,274398,Hotel Ratia,Via Centrala 5,Ilanz,Switzerland,7130,Hotels,3,46.77484577,9.20448571,2,http://www.booking.com/hotel/ch/ratia-ilanz.en-gb.html,CHF
84990,274407,ibis Esch Belval,Avenue du Rockn Roll 12,Esch-sur-Alzette,Luxembourg,4361,Hotels,3,49.50118281,5.94518065,2,http://www.booking.com/hotel/lu/ibis-esch-belval.en-gb.html,EUR
84991,274409,C+M+B Hotel,Sylvester-Jordan-Strasse 6,Innsbruck,Austria,6094,Hotels,3,47.23097639,11.27952576,2,https://www.booking.com/hotel/at/c-m-b-neuwirt.en-gb.html,EUR
84992,274418,FidazerHof,Via da Fidaz 34,Flims,Switzerland,7019,Hotels,3,46.83739269,9.30276453,2,http://www.booking.com/hotel/ch/fidazerhof.en-gb.html,CHF
84993,274426,Landhotel zum Metzgerwirt,Dorfstasse 39,Bayersoien,Germany,82435,Hotels,3,47.69147188,10.99418163,2,http://www.booking.com/hotel/de/landhotel-zum-metzgerwirt.en-gb.html,EUR
84994,2744296,Hotel Weinhaus Mohle,38 Weinstrasse,Bad Oeynhausen,Germany,32549,Hotels,3,52.24113,8.79553,2,http://www.booking.com/hotel/de/weinhaus-mohle.en-gb.html,EUR
84995,274436,Baldio Grande,Ctra. Carbajo-Santiago De Alcantara Km 15,Carbajo,Spain,,Hotels,3,39.631714,-7.1805687,5,https://www.agoda.com/en-gb/baldio-grande/hotel/carbajo-es.html,EUR
84996,274448,El Torreon del Miguelete,"Quintanar, 7",Miguel Esteban,Spain,45830,Hotels,3,39.53072434,-3.07592511,2,http://www.booking.com/hotel/es/el-torreon-del-miguelete.en-gb.html,EUR
84997,2744589,Hotel-Residenz Oberurseler Hof,28 An den Drei Hasen,Oberursel,Germany,61440,Hotels,3,50.20529,8.59652,2,http://www.booking.com/hotel/de/residenz-oberurseler-hof.en-gb.html,EUR
84998,274498,Grand Hotel Bellevue,5 Jean Roisin Street,Lille,France,59800,Hotels,4,50.63665009,3.062033415,5,https://www.agoda.com/en-gb/grand-hotel-bellevue/hotel/lille-fr.html,EUR
84999,2745093,Hotel Rai,57 ulitsa \,Stara Zagora,Bulgaria,6001,Hotels,3,42.42749783,25.6424481,2,http://www.booking.com/hotel/bg/khotiel-rai.en-gb.html,BGN
